cell,deck,path,bytes,content_type,source_url,repository_url
F10,Runas,baralhos/runas/eiwaz.png,23258,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/eiwaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/eiwaz.png
G10,Cartas Sakura,baralhos/cartas-sakura/SakuraErase.webp,15666,image/webp,https://static.wikia.nocookie.net/ccs/images/d/de/SakuraErase.jpg/revision/latest/scale-to-width-down/150?cb=20160527124517,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraErase.webp
F11,Runas,baralhos/runas/fehu.png,22096,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/fehu.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/fehu.png
G11,Cartas Sakura,baralhos/cartas-sakura/SakuraPower.webp,15012,image/webp,https://static.wikia.nocookie.net/ccs/images/6/65/SakuraPower.jpg/revision/latest/scale-to-width-down/150?cb=20160527125104,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraPower.webp
F12,Runas,baralhos/runas/gebo.png,23146,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/gebo.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/gebo.png
G12,Cartas Sakura,baralhos/cartas-sakura/SakuraSweet.webp,12800,image/webp,https://static.wikia.nocookie.net/ccs/images/6/68/SakuraSweet.jpg/revision/latest/scale-to-width-down/150?cb=20160527130334,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraSweet.webp
F13,Runas,baralhos/runas/hagalaz.png,23181,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/hagalaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/hagalaz.png
G13,Cartas Sakura,baralhos/cartas-sakura/SakuraLock.webp,12728,image/webp,https://static.wikia.nocookie.net/ccs/images/0/08/SakuraLock.jpg/revision/latest/scale-to-width-down/150?cb=20160606171602,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraLock.webp
F14,Runas,baralhos/runas/ingwaz.png,24324,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/ingwaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/ingwaz.png
G14,Cartas Sakura,baralhos/cartas-sakura/SakuraLibra.webp,13872,image/webp,https://static.wikia.nocookie.net/ccs/images/6/6f/SakuraLibra.jpg/revision/latest/scale-to-width-down/150?cb=20160527125927,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraLibra.webp
F15,Runas,baralhos/runas/isaz.png,15625,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/isaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/isaz.png
G15,Cartas Sakura,baralhos/cartas-sakura/SakuraSand.webp,14054,image/webp,https://static.wikia.nocookie.net/ccs/images/0/03/SakuraSand.jpg/revision/latest/scale-to-width-down/150?cb=20160527130704,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraSand.webp
F16,Runas,baralhos/runas/jera.png,22474,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/jera.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/jera.png
G16,Cartas Sakura,baralhos/cartas-sakura/SakuraVoice.webp,14508,image/webp,https://static.wikia.nocookie.net/ccs/images/a/a1/SakuraVoice.jpg/revision/latest/scale-to-width-down/150?cb=20160527124913,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraVoice.webp
F17,Runas,baralhos/runas/kaunan.png,23142,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/kaunan.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/kaunan.png
G17,Cartas Sakura,baralhos/cartas-sakura/SakuraChange.webp,12768,image/webp,https://static.wikia.nocookie.net/ccs/images/2/21/SakuraChange.jpg/revision/latest/scale-to-width-down/150?cb=20160527123515,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraChange.webp
F18,Runas,baralhos/runas/laguz.png,17591,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/laguz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/laguz.png
G18,Cartas Sakura,baralhos/cartas-sakura/SakuraWave.webp,13092,image/webp,https://static.wikia.nocookie.net/ccs/images/9/92/SakuraWave.jpg/revision/latest/scale-to-width-down/150?cb=20160527124821,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraWave.webp
F19,Runas,baralhos/runas/mannaz.png,23490,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/mannaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/mannaz.png
G19,Cartas Sakura,baralhos/cartas-sakura/SakuraDash.webp,13924,image/webp,https://static.wikia.nocookie.net/ccs/images/0/00/SakuraDash.jpg/revision/latest/scale-to-width-down/150?cb=20160527130319,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraDash.webp
F20,Runas,baralhos/runas/naudiz.png,20452,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/naudiz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/naudiz.png
G20,Cartas Sakura,baralhos/cartas-sakura/SakuraWindy.webp,16976,image/webp,https://static.wikia.nocookie.net/ccs/images/8/8a/SakuraWindy.jpg/revision/latest/scale-to-width-down/150?cb=20160527124333,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraWindy.webp
F21,Runas,baralhos/runas/othala.png,23373,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/othala.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/othala.png
G21,Cartas Sakura,baralhos/cartas-sakura/SakuraLoop.webp,12650,image/webp,https://static.wikia.nocookie.net/ccs/images/9/9f/SakuraLoop.jpg/revision/latest/scale-to-width-down/150?cb=20160527124600,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraLoop.webp
F22,Runas,baralhos/runas/perthro.png,27100,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/perthro.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/perthro.png
G22,Cartas Sakura,baralhos/cartas-sakura/SakuraFlower.webp,16252,image/webp,https://static.wikia.nocookie.net/ccs/images/6/6f/SakuraFlower.jpg/revision/latest/scale-to-width-down/150?cb=20160606171109,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraFlower.webp
F23,Runas,baralhos/runas/raido.png,19260,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/raido.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/raido.png
G23,Cartas Sakura,baralhos/cartas-sakura/SakuraBig.webp,13994,image/webp,https://static.wikia.nocookie.net/ccs/images/3/30/SakuraBig.jpg/revision/latest/scale-to-width-down/150?cb=20160527123116,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraBig.webp
F24,Runas,baralhos/runas/sowilo.png,22491,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/sowilo.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/sowilo.png
G24,Cartas Sakura,baralhos/cartas-sakura/SakuraLittle.webp,15262,image/webp,https://static.wikia.nocookie.net/ccs/images/d/db/SakuraLittle.jpg/revision/latest/scale-to-width-down/150?cb=20160527130025,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraLittle.webp
F25,Runas,baralhos/runas/thurisaz.png,23469,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/thurisaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/thurisaz.png
G25,Cartas Sakura,baralhos/cartas-sakura/SakuraSleep.webp,15394,image/webp,https://static.wikia.nocookie.net/ccs/images/f/fa/SakuraSleep.jpg/revision/latest/scale-to-width-down/150?cb=20160527130622,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraSleep.webp
F26,Runas,baralhos/runas/tiwaz.png,20817,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/tiwaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/tiwaz.png
G26,Cartas Sakura,baralhos/cartas-sakura/SakuraFloat.webp,13532,image/webp,https://static.wikia.nocookie.net/ccs/images/6/61/SakuraFloat.jpg/revision/latest/scale-to-width-down/150?cb=20160527125812,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraFloat.webp
F27,Runas,baralhos/runas/uruz.png,18576,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/uruz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/uruz.png
G27,Cartas Sakura,baralhos/cartas-sakura/SakuraBubbles.webp,15590,image/webp,https://static.wikia.nocookie.net/ccs/images/0/02/SakuraBubbles.jpg/revision/latest/scale-to-width-down/150?cb=20180819110204,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraBubbles.webp
F28,Runas,baralhos/runas/wunjo.png,20905,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/wunjo.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/wunjo.png
G28,Cartas Sakura,baralhos/cartas-sakura/SakuraShield.webp,14930,image/webp,https://static.wikia.nocookie.net/ccs/images/1/1b/SakuraShield.jpg/revision/latest/scale-to-width-down/150?cb=20160527125852,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraShield.webp
G29,Cartas Sakura,baralhos/cartas-sakura/SakuraShadow.webp,13168,image/webp,https://static.wikia.nocookie.net/ccs/images/f/f5/SakuraShadow.jpg/revision/latest/scale-to-width-down/150?cb=20160606172513,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraShadow.webp
G30,Cartas Sakura,baralhos/cartas-sakura/SakuraFreeze.webp,12866,image/webp,https://static.wikia.nocookie.net/ccs/images/a/a8/SakuraFreeze.jpg/revision/latest/scale-to-width-down/150?cb=20160527124659,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraFreeze.webp
G31,Cartas Sakura,baralhos/cartas-sakura/SakuraMist.webp,15168,image/webp,https://static.wikia.nocookie.net/ccs/images/a/ab/SakuraMist.jpg/revision/latest/scale-to-width-down/150?cb=20160527125451,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraMist.webp
G32,Cartas Sakura,baralhos/cartas-sakura/SakuraDream.webp,13890,image/webp,https://static.wikia.nocookie.net/ccs/images/f/f5/SakuraDream.jpg/revision/latest/scale-to-width-down/150?cb=20160527124438,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraDream.webp
